Month,Revenue,Expenses,Profit,Department
Jan 2024,1250000,890000,360000,Corporate
Feb 2024,1380000,920000,460000,Corporate
Mar 2024,1520000,1050000,470000,Corporate
Apr 2024,1490000,980000,510000,Corporate
May 2024,1610000,1020000,590000,Corporate
Jun 2024,1750000,1100000,650000,Corporate
Jul 2024,1680000,1380000,300000,Corporate
Aug 2024,1820000,1080000,740000,Corporate
Sep 2024,1950000,1150000,800000,Corporate
Oct 2024,2100000,1200000,900000,Corporate
Nov 2024,2350000,1280000,1070000,Corporate
Dec 2024,2800000,1450000,1350000,Corporate
